x,y,label
2141.460123701777,4772.107844819635,1
2068.1766015033822,4851.143045562561,2
1707.8263361517209,4851.831325579961,3
1588.82515898524,4823.405503170756,4
2765.804494831772,4854.0732333391115,5
2335.2247636868924,4229.40211381676,6
1769.1995650258787,5048.835078902237,7
2532.3674723114973,4328.103352111965,8
2354.574047145831,4583.832973094434,9
1446.226011583005,5040.749477135361,10
2030.4800230413307,4598.330782628561,11
2727.255368649222,4194.838015328678,12
2147.5522505436816,4844.79653831953,13
1644.6237029504493,4996.037294839884,14
2807.233881846495,4695.578398793811,15
1846.1221459518365,5009.8409715466405,16
2524.615148227385,4051.0697039616084,17
2073.226150170187,5632.850224791186,18
2525.6151951650672,5048.65586497404,19
1859.7067791764853,4488.391611245069,20
2414.6770517005725,5236.730036644801,21
2194.88958435163,5478.5802843876045,22
2594.9713876540304,4271.788691610694,23
1392.795276799218,5130.660252071291,24
2277.537945458237,5673.701442329885,25
2359.5004370015713,5457.120379245894,26
2166.3522975073947,4785.4710212897335,27
1951.8653860424542,4249.293852815192,28
2131.8387996831348,4214.756862588519,29
2237.008160320616,4459.389120221612,30
1740.6211478906343,5030.374154630684,31
2035.8942948666531,5632.33650731947,32
1945.952956880888,4812.18464898127,33
2747.7189999712264,4303.147690691503,34
2645.7661381784465,5041.722660506954,35
2161.5634140261027,4664.781040043198,36
2416.821829120531,5256.757061263776,37
2702.263488161166,4460.348143365359,38
2439.315232694351,5263.5087536898245,39
1921.3182347528123,4483.1420182245265,40
2880.09237323012,4249.483905765179,41
2426.3767540795193,4216.40656926736,42
2640.7090075342794,4849.4154166986455,43
2630.8448372910507,4840.074935904175,44
2434.5365975696836,4053.2847885474675,45
1582.5526384082953,4998.454727235045,46
2701.3746084966324,4797.453850302878,47
2167.794620821991,4595.09375727959,48
2108.34575586119,5765.778732964046,49
1525.0888917753236,4732.054641727533,50
1459.0978841506512,4807.215743359894,51
1986.1308614289253,4198.770507099261,52
2267.070405166563,4947.941784356215,53
2716.6426891540386,4244.926733325509,54
2014.3433596324567,5483.871934203967,55
2245.8012940455474,4897.266667564297,56
2121.431382601405,5685.897105509128,57
1629.6587970429227,5118.513869824907,58
2308.539340605995,5593.623854841597,59
1869.3648368920922,4445.053625643778,60
2247.0207651079395,5163.419792900936,61
2199.1031105017173,5392.687794605088,62
1732.3645446821372,4655.516700304752,63
2236.628450654977,5525.404867088566,64
2066.3495554297397,5595.273785172299,65
1932.341072407669,4328.037465308401,66
2660.111626690823,4461.362046731734,67
2848.353609241762,4323.497335839137,68
1607.7868501654427,5315.268325094879,69
1410.29296150144,5044.278583509174,70
2247.6906681203827,5453.893721149363,71
1988.5904183235505,4934.304015506785,72
2397.0702277376845,5559.232198189606,73
2374.0402373856946,4177.454482557593,74
1657.5148935410682,4668.72517448048,75
2800.5850204657013,4099.399005964177,76
2398.5819239583266,5350.924919383207,77
2056.431270937661,4533.83531549663,78
1839.179495187122,4343.973083095228,79
2330.918683642053,4132.857653869327,80
2582.01789844989,4603.509763818838,81
2383.300634935839,5363.192658652233,82
1969.9903468219868,4949.267295866611,83
2835.647175226,4307.653995470439,84
2180.2402819092704,4302.253359943055,85
2716.2540983434856,4426.377480775127,86
1840.1833300341568,5216.591284833286,87
2040.2419044977116,5498.089529437739,88
2321.105150080769,4825.472672726448,89
2200.452172554877,5464.134091848217,90
2234.7012702106103,4318.735166955981,91
1771.3267142200916,5376.646896056689,92
1453.1079410543066,5213.856351076098,93
1872.0714396348817,4804.694735625716,94
1880.6107274143221,4747.1524294350675,95
1809.4761834080623,4964.616617549909,96
1847.5766587918304,4749.188392590673,97
1494.4497964399034,5338.4315533917525,98
2882.315781021839,4259.849043215278,99
1820.9088877090783,4784.341849653346,100
